id	AA	BA	CA	DA	EA	FA	AB	BB	CB	DB	EB	FB	AC	BC	CC	DC	EC	FC	AD	BD	CD	DD	ED	FD	AE	BE	CE	DE	EE	FE	AF	BF	CF	DF	EF	FF	label
119lA	0	0	0	0	0	0	0	7	0	11	9	7	0	0	0	0	0	0	0	20	0	33	17	5	0	7	0	23	8	0	0	0	0	7	5	2	3
193lA	0	0	0	0	0	0	0	2	3	13	6	2	0	1	0	4	2	1	0	13	5	28	9	5	0	6	0	10	3	3	0	4	0	6	1	1	3
1ab8A	0	0	0	0	0	0	0	5	0	12	14	4	0	2	0	2	1	0	0	14	1	27	19	10	0	6	3	24	11	3	0	7	1	6	3	1	3
1af5A	0	0	0	0	0	0	0	5	0	15	7	2	0	0	0	0	1	0	0	11	1	11	20	2	0	10	0	10	7	9	0	3	0	9	1	1	3
1afiA	0	0	0	0	0	0	0	1	0	4	3	2	0	0	0	2	0	0	0	7	2	18	12	1	0	1	0	14	1	0	0	0	0	3	0	0	3
1ag2A	0	0	0	0	0	0	0	10	0	12	4	2	0	1	0	0	1	0	0	7	0	12	10	7	0	5	2	8	4	2	0	5	0	5	2	3	3
1ah6A	0	0	0	0	0	0	0	11	0	24	13	3	0	0	0	0	0	0	0	18	0	33	27	6	0	16	0	22	13	8	0	5	0	6	6	1	3
1ahqA	0	0	0	0	0	0	0	4	0	16	7	5	0	2	0	0	0	0	0	16	1	23	13	5	0	7	1	13	5	2	0	3	0	6	3	0	3
1aihA	0	0	0	0	0	0	0	4	1	18	4	6	0	1	0	0	1	0	0	16	0	33	21	7	0	12	1	15	12	2	0	0	0	11	4	0	3
1akoA	0	0	0	0	0	0	0	14	0	27	16	6	0	1	1	1	0	0	0	27	1	46	28	12	0	16	1	24	14	5	0	5	0	15	3	4	3
1aorA	0	0	0	0	0	0	0	24	1	54	24	12	0	0	0	4	2	0	0	56	3	124	77	26	0	26	1	76	27	12	0	9	1	28	13	4	3
1apsA	0	0	0	0	0	0	0	4	0	7	6	1	0	0	0	0	1	0	0	8	0	24	10	6	0	2	0	15	1	2	0	4	1	3	2	0	3
1apyA	0	0	0	0	0	0	0	4	3	15	8	0	0	2	0	1	1	1	0	17	2	39	16	7	0	5	0	18	8	2	0	2	0	8	0	1	3
1astA	0	0	0	0	0	0	0	12	0	15	14	4	0	1	0	3	0	0	0	15	1	30	18	14	0	9	2	20	9	6	0	8	1	11	4	2	3
1atlA	0	0	0	0	0	0	0	8	1	19	16	3	0	2	0	0	2	0	0	19	0	30	24	6	0	14	3	22	11	4	0	4	0	7	2	2	3
1biaA	0	0	0	0	0	0	0	13	0	24	20	3	0	0	0	1	0	0	0	25	0	43	43	8	0	17	1	44	23	7	0	5	0	6	7	1	3
1bncA	0	0	0	0	0	0	0	16	0	39	24	5	0	2	0	4	2	0	0	38	4	84	62	9	0	24	3	54	21	12	0	4	1	16	5	3	3
1bplA	0	0	0	0	0	0	0	5	0	17	9	6	0	0	0	0	0	0	0	18	0	42	12	14	0	9	0	12	5	3	0	5	0	14	4	3	3
1bvlA	0	0	0	0	0	0	0	2	0	11	5	1	0	0	0	1	0	1	0	10	2	23	15	6	0	2	0	18	4	2	0	6	0	2	2	2	3
1cbyA	0	0	0	0	0	0	0	11	0	11	22	10	0	0	0	0	0	0	0	23	1	29	22	5	0	15	0	32	17	3	0	5	0	8	6	6	3
1cdlA	0	0	0	0	0	0	0	11	0	26	8	3	0	0	0	0	0	0	0	19	0	12	16	4	0	13	0	10	6	3	0	5	0	3	2	0	3
1cewI	0	0	0	0	0	0	0	7	2	6	8	1	0	0	0	4	0	0	0	7	2	21	10	5	0	6	0	10	6	3	0	3	0	5	1	0	3
1chkA	0	0	0	0	0	0	0	11	0	22	14	3	0	0	0	0	0	1	0	26	1	67	17	10	0	9	0	19	9	6	0	4	0	13	3	2	3
1chmA	0	0	0	0	0	0	0	17	0	40	25	5	0	1	0	3	0	1	0	36	3	71	42	22	0	27	1	42	25	3	0	7	1	17	6	5	3
1ckmA	0	0	0	0	0	0	0	11	0	27	18	8	0	1	0	0	2	0	0	31	2	43	36	14	0	17	1	42	23	7	0	5	0	14	11	3	3
1coyA	0	0	0	0	0	0	0	16	0	46	21	11	0	0	0	0	0	1	0	48	1	120	55	21	0	20	0	61	19	10	0	10	0	19	14	7	3
1crkA	0	0	0	0	0	0	0	19	1	31	19	9	0	4	0	3	0	1	0	30	4	84	45	10	0	20	3	43	16	8	0	6	0	12	10	1	3
1cseI	0	0	0	0	0	0	0	1	0	5	3	3	0	0	0	0	0	0	0	5	0	9	8	3	0	4	0	8	2	1	0	2	0	3	2	3	3
1ctfA	0	0	0	0	0	0	0	2	0	7	3	1	0	0	0	0	0	0	0	7	0	19	10	0	0	4	0	9	4	0	0	1	0	0	0	0	3
1ctnA	0	0	0	0	0	0	0	15	2	50	28	18	0	0	0	2	2	0	0	60	2	117	48	26	0	25	0	50	23	10	0	13	0	34	7	5	3
1dapA	0	0	0	0	0	0	0	12	0	34	19	6	0	1	0	1	1	0	0	31	1	77	31	11	0	21	1	28	13	6	0	6	1	11	5	2	3
1darA	0	0	0	0	0	0	0	19	0	57	40	8	0	0	0	1	0	0	0	57	0	119	81	21	0	37	0	79	39	14	0	11	1	21	10	3	3
1dcoA	0	0	0	0	0	0	0	4	0	11	5	4	0	1	0	0	0	0	0	9	1	12	14	4	0	7	0	12	1	2	0	3	0	5	2	1	3
1defA	0	0	0	0	0	0	0	8	0	14	15	2	0	0	0	1	1	0	0	20	0	15	16	1	0	10	2	21	13	2	0	1	0	1	3	0	3
1dikA	0	0	0	0	0	0	0	42	2	83	50	14	0	1	1	8	2	1	0	84	8	172	96	34	0	50	1	99	41	12	0	14	1	32	14	6	3
1divA	0	0	0	0	0	0	0	5	0	22	6	0	0	0	0	0	0	0	0	17	0	29	25	4	0	10	0	21	1	2	0	1	0	2	3	0	3
1ebhA	0	0	0	0	0	0	0	18	0	42	21	3	0	1	0	0	0	0	0	34	1	115	52	17	0	25	0	48	20	8	0	6	0	15	7	2	3
1efnB	0	0	0	0	0	0	0	2	0	9	4	2	0	0	0	0	0	1	0	5	0	18	13	9	0	6	0	11	4	2	0	4	1	8	2	2	3
1emaA	0	0	0	0	0	0	0	9	0	26	13	4	0	1	0	0	1	0	0	26	1	39	19	11	0	9	0	22	10	6	0	7	1	10	3	2	3
1esfA	0	0	0	0	0	0	0	14	0	23	17	8	0	1	0	1	0	0	0	26	1	39	12	11	0	17	1	19	7	4	0	4	0	7	12	4	3
1ezmA	0	0	0	0	0	0	0	13	1	24	13	7	0	0	0	4	0	0	0	27	3	74	19	20	0	11	0	23	10	6	0	7	0	18	8	9	3
1fcaA	0	0	0	0	0	0	0	1	1	3	6	0	0	2	0	5	1	0	0	8	5	7	2	0	0	0	2	5	2	2	0	0	0	2	0	0	3
1fd2A	0	0	0	0	0	0	0	7	1	15	8	2	0	6	0	1	1	0	0	10	3	7	9	3	0	7	3	7	3	3	0	3	1	2	2	1	3
1fimA	0	0	0	0	0	0	0	3	0	13	2	1	0	0	0	1	2	0	0	9	3	18	15	2	0	4	0	12	4	4	0	3	0	3	1	1	3
1fjmA	0	0	0	0	0	0	0	12	1	28	17	8	0	4	1	0	6	2	0	20	7	42	25	13	0	21	3	25	19	6	0	8	1	12	8	4	3
1fkdA	0	0	0	0	0	0	0	3	0	8	5	3	0	0	0	1	0	0	0	9	0	28	11	5	0	5	1	10	7	1	0	1	0	7	1	0	3
1frdA	0	0	0	0	0	0	0	11	0	6	9	1	0	1	0	3	1	0	0	8	3	16	7	3	0	7	2	7	4	2	0	0	0	5	1	0	3
1froA	0	0	0	0	0	0	0	11	1	18	7	2	0	0	1	3	0	0	0	19	2	26	21	8	0	5	0	21	7	5	0	4	0	9	2	3	3
1fwpA	0	0	0	0	0	0	0	5	0	6	4	1	0	0	0	0	1	0	0	3	0	12	11	0	0	7	0	8	7	1	0	0	1	1	0	0	3
1galA	0	0	0	0	0	0	0	21	0	52	34	13	0	0	0	3	0	0	0	52	3	134	56	28	0	28	0	61	31	9	0	18	0	24	8	5	3
1gbsA	0	0	0	0	0	0	0	4	0	20	8	2	0	1	0	1	1	1	0	18	2	50	18	9	0	8	1	17	7	1	0	3	1	10	0	1	3
1gesA	0	0	0	0	0	0	0	17	0	34	26	11	0	1	0	4	1	0	0	42	2	93	53	17	0	20	4	61	20	6	0	8	0	15	11	1	3
1ggtA	0	0	0	0	0	0	0	38	1	61	42	16	0	1	0	5	2	1	0	66	2	125	70	34	0	38	3	73	36	20	0	15	3	32	20	5	3
1gmpA	0	0	0	0	0	0	0	5	0	10	2	1	0	0	0	1	2	0	0	10	1	21	6	8	0	2	1	8	6	0	0	2	0	6	1	2	3
