#fea,rf,knn,mlp,sum,prod,wsum,wprod,vote
1,62.33,67.84,44.83,71.55,71.55,69.83,71.55,73.28
2,66.29,73.02,67.24,76.72,76.72,75.86,76.72,76.72
3,73.10,71.12,71.03,81.90,82.76,81.90,83.62,81.03
4,73.53,71.03,73.97,80.17,81.03,80.17,80.17,81.03
5,74.57,73.62,69.83,82.76,83.62,82.76,82.76,84.48
6,75.52,74.83,65.17,85.34,84.48,85.34,84.48,84.48
7,76.47,75.43,73.62,84.48,84.48,84.48,84.48,84.48
8,77.24,75.69,68.71,81.03,81.03,81.03,81.03,81.03
9,75.69,72.33,73.88,79.31,79.31,79.31,79.31,79.31
10,79.22,77.16,67.84,85.34,87.07,85.34,87.07,83.62
11,75.43,72.76,70.17,82.76,82.76,82.76,81.90,81.90
12,78.45,75.17,74.57,84.48,85.34,84.48,85.34,85.34
13,77.93,74.91,72.24,84.48,84.48,84.48,84.48,84.48
14,78.10,74.74,65.09,82.76,81.90,81.90,81.90,81.03
15,77.24,73.88,72.76,82.76,82.76,82.76,82.76,83.62
16,78.19,73.97,71.12,83.62,83.62,83.62,83.62,81.90
17,79.40,74.83,74.83,83.62,82.76,82.76,82.76,86.21
18,77.84,76.55,71.90,87.07,86.21,87.07,86.21,87.93
19,77.93,75.34,73.71,83.62,83.62,83.62,83.62,80.17
20,77.16,75.09,71.72,81.90,82.76,81.90,82.76,84.48
21,78.36,75.78,72.50,82.76,83.62,82.76,83.62,83.62
22,81.81,78.88,76.29,87.93,87.07,87.93,87.07,85.34
23,77.76,77.76,73.71,84.48,84.48,84.48,84.48,84.48
24,79.40,78.53,72.07,85.34,84.48,85.34,84.48,85.34
25,79.91,77.24,76.90,82.76,83.62,82.76,83.62,82.76
26,77.24,77.93,61.29,86.21,84.48,86.21,83.62,85.34
27,78.88,77.16,71.47,84.48,86.21,84.48,86.21,83.62
28,79.66,76.72,70.34,85.34,85.34,85.34,85.34,82.76
29,77.67,75.52,71.12,84.48,84.48,84.48,84.48,85.34
30,77.41,77.59,70.69,82.76,81.90,82.76,81.90,82.76
31,77.67,76.64,72.16,84.48,83.62,85.34,83.62,85.34
32,78.97,76.55,70.34,84.48,85.34,83.62,85.34,82.76
33,78.79,76.03,69.74,82.76,81.90,81.90,82.76,82.76
34,79.31,78.88,73.36,86.21,85.34,86.21,87.07,87.07
35,77.76,78.36,70.34,87.07,87.07,87.93,87.07,87.07
