#fea,rf,knn,mlp,sum,prod,wsum,wprod,vote
1,55.41,60.66,40.33,72.13,72.13,75.41,72.13,75.41
2,63.44,67.05,56.23,72.13,72.13,72.13,72.13,72.13
3,66.23,65.90,57.54,78.69,77.05,75.41,77.05,75.41
4,67.87,66.72,61.80,73.77,77.05,75.41,77.05,78.69
5,68.52,66.89,60.66,77.05,75.41,77.05,73.77,75.41
6,74.92,71.31,61.97,85.25,83.61,83.61,83.61,83.61
7,73.61,67.05,57.38,81.97,85.25,83.61,85.25,78.69
8,70.49,64.75,61.48,77.05,77.05,77.05,75.41,75.41
9,71.64,67.05,48.69,77.05,77.05,78.69,78.69,78.69
10,72.46,65.90,60.33,78.69,80.33,78.69,78.69,78.69
11,74.75,69.18,61.80,80.33,78.69,80.33,78.69,77.05
12,71.64,63.44,61.15,83.61,83.61,83.61,83.61,80.33
13,72.46,67.21,60.00,83.61,80.33,85.25,80.33,81.97
14,73.61,67.54,66.56,75.41,78.69,75.41,78.69,75.41
15,69.84,65.74,60.49,78.69,78.69,78.69,78.69,78.69
16,74.26,69.67,61.64,78.69,80.33,80.33,81.97,80.33
17,72.46,67.87,54.59,78.69,77.05,77.05,77.05,78.69
18,75.08,68.03,65.08,80.33,80.33,81.97,80.33,81.97
19,73.77,65.90,69.84,80.33,81.97,80.33,83.61,81.97
20,72.30,69.18,60.66,73.77,75.41,73.77,75.41,77.05
21,72.30,68.52,58.20,80.33,80.33,81.97,80.33,81.97
22,72.46,67.54,67.38,83.61,83.61,83.61,83.61,83.61
23,73.61,68.36,64.59,80.33,78.69,80.33,78.69,80.33
24,74.59,71.15,61.15,78.69,77.05,78.69,77.05,75.41
25,73.77,66.56,61.97,78.69,78.69,78.69,78.69,80.33
26,72.79,72.46,63.77,85.25,85.25,86.89,85.25,85.25
27,69.67,64.75,48.52,75.41,75.41,75.41,75.41,73.77
28,72.95,70.98,55.57,78.69,80.33,80.33,80.33,80.33
29,69.34,66.72,64.59,78.69,80.33,77.05,78.69,81.97
30,73.11,69.02,58.36,78.69,80.33,78.69,80.33,77.05
31,75.08,69.34,65.74,81.97,80.33,81.97,81.97,80.33
32,72.62,67.87,63.44,78.69,78.69,78.69,78.69,77.05
33,70.00,66.07,58.52,78.69,78.69,78.69,78.69,77.05
34,72.62,68.85,55.41,81.97,81.97,81.97,81.97,83.61
35,71.80,67.05,56.39,77.05,77.05,77.05,78.69,78.69
36,74.10,68.85,53.61,85.25,85.25,85.25,85.25,85.25
37,72.95,65.74,54.43,81.97,80.33,83.61,80.33,85.25
38,72.46,66.23,56.56,81.97,81.97,81.97,81.97,85.25
39,73.77,71.31,67.87,85.25,85.25,85.25,85.25,85.25
40,70.82,64.92,48.20,73.77,72.13,75.41,73.77,77.05
41,74.10,65.08,59.84,73.77,73.77,75.41,73.77,78.69
42,73.28,68.85,54.75,80.33,81.97,81.97,80.33,78.69
43,71.64,67.21,56.07,75.41,77.05,77.05,77.05,75.41
44,71.31,69.51,59.18,80.33,80.33,80.33,80.33,83.61
45,72.46,68.52,54.92,77.05,80.33,75.41,77.05,81.97
46,73.28,68.36,47.21,81.97,81.97,81.97,83.61,78.69
47,72.30,70.49,56.56,77.05,78.69,78.69,78.69,77.05
48,70.82,65.74,60.98,78.69,78.69,78.69,78.69,80.33
49,71.48,68.85,53.28,78.69,77.05,78.69,77.05,78.69
50,70.16,63.77,59.34,78.69,80.33,78.69,78.69,80.33
51,72.30,66.72,59.51,78.69,80.33,78.69,80.33,78.69
52,75.41,70.66,60.82,83.61,83.61,83.61,85.25,81.97
53,73.11,66.23,51.48,78.69,80.33,80.33,80.33,78.69
54,72.79,67.05,66.07,88.52,85.25,88.52,85.25,81.97
55,71.31,65.74,44.26,77.05,77.05,77.05,77.05,77.05
56,70.49,61.97,53.77,73.77,73.77,75.41,72.13,73.77
57,73.61,69.51,58.85,83.61,81.97,81.97,83.61,80.33
