#fea,rf,knn,mlp,sum,prod,wsum,wprod,vote
1,68.97,76.92,49.49,79.49,78.21,80.77,78.21,80.77
2,79.10,82.05,76.03,88.46,89.74,88.46,89.74,89.74
3,80.26,82.82,79.74,85.90,85.90,85.90,85.90,87.18
4,82.69,78.85,75.13,87.18,87.18,87.18,87.18,85.90
5,84.36,82.18,76.15,89.74,89.74,89.74,89.74,91.03
6,86.79,81.54,70.51,92.31,92.31,92.31,92.31,91.03
7,84.74,81.03,77.05,88.46,88.46,88.46,88.46,88.46
8,85.77,82.05,76.03,89.74,89.74,92.31,92.31,91.03
9,83.97,79.36,75.90,92.31,87.18,92.31,88.46,92.31
10,83.97,80.00,71.54,87.18,88.46,88.46,88.46,85.90
11,84.62,81.67,76.79,93.59,93.59,93.59,93.59,92.31
12,85.64,80.38,80.00,87.18,88.46,87.18,88.46,87.18
13,83.21,79.10,77.69,92.31,92.31,92.31,92.31,93.59
14,86.67,81.54,80.38,96.15,93.59,96.15,93.59,92.31
15,85.64,80.26,72.44,91.03,89.74,91.03,91.03,87.18
16,84.87,78.85,75.00,88.46,88.46,89.74,88.46,91.03
17,84.23,80.00,76.92,89.74,91.03,89.74,91.03,91.03
18,85.00,79.62,76.28,93.59,92.31,93.59,92.31,91.03
19,85.77,81.03,77.95,88.46,88.46,88.46,88.46,88.46
20,88.33,81.67,77.05,91.03,89.74,91.03,89.74,91.03
21,84.62,82.44,77.05,89.74,89.74,89.74,89.74,88.46
22,86.15,83.97,79.10,93.59,93.59,93.59,93.59,91.03
23,84.36,82.44,73.33,88.46,88.46,88.46,88.46,88.46
24,84.74,83.59,77.31,89.74,89.74,89.74,89.74,89.74
25,87.05,84.62,78.46,92.31,91.03,92.31,91.03,91.03
26,87.95,85.38,77.82,91.03,91.03,91.03,91.03,91.03
27,88.21,85.77,74.36,92.31,92.31,92.31,92.31,93.59
28,86.28,84.87,76.92,89.74,89.74,89.74,88.46,91.03
29,86.79,83.97,80.26,91.03,91.03,91.03,91.03,91.03
30,87.44,83.21,78.21,88.46,88.46,88.46,88.46,89.74
31,88.08,84.10,73.97,88.46,89.74,88.46,89.74,88.46
32,84.10,80.77,70.26,88.46,85.90,89.74,85.90,88.46
33,87.31,83.08,64.36,91.03,91.03,91.03,91.03,91.03
34,85.64,83.21,75.38,88.46,88.46,88.46,88.46,87.18
35,87.95,85.64,80.77,91.03,92.31,91.03,92.31,91.03
36,87.44,84.62,76.79,91.03,89.74,91.03,89.74,91.03
37,85.38,82.56,73.97,92.31,92.31,92.31,92.31,92.31
38,87.18,83.08,81.28,94.87,94.87,94.87,94.87,92.31
39,86.03,83.59,76.79,89.74,91.03,91.03,91.03,93.59
40,87.95,83.33,74.10,89.74,88.46,89.74,89.74,91.03
41,85.38,84.23,78.72,89.74,91.03,89.74,91.03,91.03
42,85.38,83.85,78.72,89.74,88.46,89.74,88.46,91.03
43,86.54,84.23,78.97,89.74,88.46,89.74,88.46,91.03
44,84.10,81.03,79.62,89.74,88.46,89.74,88.46,89.74
45,87.56,85.00,73.97,94.87,94.87,94.87,94.87,93.59
46,85.77,82.95,68.59,88.46,88.46,88.46,88.46,89.74
47,87.05,82.95,73.21,87.18,87.18,87.18,87.18,88.46
48,85.64,83.85,78.85,91.03,92.31,91.03,92.31,91.03
49,87.31,85.13,69.74,91.03,91.03,91.03,91.03,91.03
50,85.00,82.18,73.46,85.90,85.90,85.90,85.90,87.18
51,86.15,83.72,78.33,89.74,88.46,89.74,88.46,92.31
52,85.90,83.33,70.77,92.31,92.31,91.03,93.59,91.03
53,85.64,83.08,76.41,91.03,89.74,91.03,91.03,91.03
54,85.90,82.95,76.79,91.03,89.74,91.03,91.03,91.03
55,85.51,83.33,68.59,89.74,89.74,89.74,89.74,89.74
56,87.05,82.82,70.77,92.31,91.03,92.31,91.03,93.59
57,86.03,82.44,70.13,88.46,88.46,88.46,88.46,89.74
58,85.90,83.08,69.10,92.31,91.03,92.31,91.03,92.31
59,86.41,84.74,65.77,94.87,96.15,94.87,96.15,93.59
60,85.00,82.82,70.90,89.74,88.46,89.74,88.46,89.74
61,84.49,83.85,73.33,88.46,88.46,89.74,91.03,88.46
62,84.87,82.31,66.15,88.46,89.74,89.74,89.74,88.46
63,84.49,79.62,69.10,88.46,87.18,88.46,88.46,87.18
64,86.54,81.79,75.77,91.03,97.44,91.03,97.44,91.03
65,87.31,82.82,64.74,91.03,91.03,91.03,91.03,91.03
66,85.51,83.72,79.10,89.74,89.74,89.74,89.74,87.18
67,86.79,82.44,71.67,88.46,88.46,88.46,88.46,88.46
68,86.92,82.56,62.31,89.74,89.74,89.74,89.74,89.74
69,85.77,82.18,74.10,88.46,87.18,88.46,87.18,89.74
70,84.62,81.15,71.03,89.74,89.74,89.74,89.74,89.74
71,85.90,82.56,73.72,91.03,88.46,91.03,89.74,89.74
72,87.05,83.97,77.82,92.31,92.31,92.31,92.31,92.31
73,84.74,83.97,74.49,91.03,91.03,91.03,91.03,92.31
74,86.41,82.69,69.49,88.46,87.18,89.74,87.18,87.18
75,86.67,82.69,61.54,89.74,89.74,88.46,88.46,91.03
76,85.38,82.05,66.15,88.46,88.46,88.46,88.46,88.46
77,85.51,82.44,72.82,88.46,87.18,87.18,87.18,88.46
78,84.36,82.95,76.15,87.18,87.18,88.46,87.18,88.46
79,85.51,83.33,74.62,91.03,89.74,91.03,89.74,89.74
80,85.64,82.31,74.87,87.18,88.46,87.18,88.46,88.46
81,83.46,81.28,75.51,88.46,87.18,87.18,87.18,87.18
82,84.10,81.79,73.08,91.03,89.74,91.03,89.74,88.46
83,85.64,81.92,71.03,92.31,92.31,92.31,92.31,91.03
84,86.54,84.23,70.90,93.59,92.31,93.59,92.31,93.59
