id	AA	BA	CA	DA	EA	FA	AB	BB	CB	DB	EB	FB	AC	BC	CC	DC	EC	FC	AD	BD	CD	DD	ED	FD	AE	BE	CE	DE	EE	FE	AF	BF	CF	DF	EF	FF	label
1abrB	0	0	0	0	0	0	0	14	1	27	8	6	0	3	0	3	3	0	0	28	4	50	19	14	0	9	4	23	16	6	0	2	0	12	13	1	2
1alyA	0	0	0	0	0	0	0	5	0	15	4	2	0	0	0	1	1	1	0	13	2	37	15	5	0	7	1	14	6	3	0	1	0	6	4	2	2
1aofA	0	0	0	0	0	0	0	18	0	55	26	12	0	0	0	2	0	0	0	55	2	122	54	18	0	24	0	53	27	14	0	15	0	19	11	4	2
1aolA	0	0	0	0	0	0	0	6	4	14	5	6	0	1	1	5	3	2	0	17	6	62	21	11	0	9	1	21	2	3	0	3	0	14	5	5	2
1aonO	0	0	0	0	0	0	0	5	0	9	6	1	0	0	0	0	0	0	0	8	0	21	12	1	0	8	0	10	13	0	0	0	0	1	1	0	2
1arbA	0	0	0	0	0	0	0	7	1	22	9	5	0	0	0	5	1	0	0	22	5	97	17	10	0	8	0	20	7	4	0	7	0	7	5	3	2
1asyA	0	0	0	0	0	0	0	19	2	51	26	8	0	0	0	1	1	1	0	49	1	93	51	23	0	27	0	53	26	10	0	12	0	18	12	5	2
1bblA	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	3	0	12	6	0	0	2	0	6	1	0	0	0	0	0	0	0	2
1bcoA	0	0	0	0	0	0	0	11	2	21	13	7	0	1	0	1	2	1	0	25	1	62	32	13	0	13	1	32	13	9	0	5	1	17	7	4	2
1bdoA	0	0	0	0	0	0	0	2	0	5	8	1	0	0	0	0	1	0	0	9	0	16	7	1	0	4	1	10	9	1	0	1	0	2	0	1	2
1bg1A	0	0	0	0	0	0	0	32	3	47	37	9	0	1	0	4	4	2	0	41	3	93	63	21	0	42	5	51	39	12	0	12	0	26	7	3	2
1biaA	0	0	0	0	0	0	0	13	0	24	20	3	0	0	0	1	0	0	0	25	0	43	43	8	0	17	1	44	23	7	0	5	0	6	7	1	2
1bmfA	0	0	0	0	0	0	0	16	0	49	23	4	0	0	0	1	0	1	0	44	1	100	71	14	0	26	1	67	30	8	0	7	0	12	8	3	2
1bplB	0	0	0	0	0	0	0	6	0	34	15	8	0	0	0	0	0	0	0	32	0	55	26	18	0	14	0	26	9	8	0	10	0	16	7	5	2
1btyA	0	0	0	0	0	0	0	6	2	17	9	2	0	1	0	7	2	2	0	17	7	56	22	8	0	8	2	19	13	5	0	3	1	11	2	0	2
1bw3A	0	0	0	0	0	0	0	6	0	8	7	5	0	2	0	2	0	2	0	9	5	32	8	6	0	5	1	9	1	1	0	4	0	9	1	1	2
1cd1A	0	0	0	0	0	0	0	15	1	20	15	4	0	0	0	4	1	0	0	23	3	57	24	13	0	14	1	23	12	10	0	4	0	16	8	4	2
1cdgA	0	0	0	0	0	0	0	35	1	60	29	21	0	0	0	2	0	1	0	56	2	159	66	38	0	34	0	71	20	12	0	21	0	29	22	6	2
1celA	0	0	0	0	0	0	0	16	4	46	15	10	0	3	2	11	2	2	0	49	12	104	29	22	0	14	1	30	10	6	0	9	1	25	5	4	2
1cgpA	0	0	0	0	0	0	0	9	1	21	9	1	0	0	0	3	0	0	0	14	2	35	29	3	0	16	0	19	16	6	0	2	0	6	2	2	2
1ckaA	0	0	0	0	0	0	0	7	0	7	1	3	0	0	0	0	0	0	0	6	0	7	6	1	0	2	0	4	2	2	0	3	0	3	1	1	2
1ckmA	0	0	0	0	0	0	0	11	0	27	18	8	0	1	0	0	2	0	0	31	2	43	36	14	0	17	1	42	23	7	0	5	0	14	11	3	2
1cpnA	0	0	0	0	0	0	0	4	0	15	7	14	0	2	0	0	0	0	0	17	2	49	15	13	0	7	0	16	5	5	0	10	0	15	6	5	2
1ctmA	0	0	0	0	0	0	0	8	0	33	9	7	0	1	0	0	1	0	0	27	2	42	30	8	0	19	0	24	20	2	0	2	0	9	5	0	2
1cukA	0	0	0	0	0	0	0	10	0	19	5	3	0	0	0	1	0	0	0	18	0	33	28	6	0	8	0	27	17	2	0	1	1	5	4	1	2
1cyxA	0	0	0	0	0	0	0	5	0	14	6	4	0	0	0	0	2	0	0	11	2	31	18	8	0	9	0	18	4	4	0	4	0	8	4	5	2
1ddtA	0	0	0	0	0	0	0	21	0	45	31	13	0	0	0	3	0	1	0	53	3	113	62	16	0	23	1	65	22	9	0	13	0	21	5	2	2
