id	AA	BA	CA	DA	EA	FA	AB	BB	CB	DB	EB	FB	AC	BC	CC	DC	EC	FC	AD	BD	CD	DD	ED	FD	AE	BE	CE	DE	EE	FE	AF	BF	CF	DF	EF	FF	label
1ab3A	0	0	0	0	0	0	0	3	0	9	5	0	0	0	0	0	0	0	0	11	0	17	11	3	0	2	0	13	8	1	0	1	0	3	0	0	1
1abvA	0	0	0	0	0	0	0	9	0	12	5	2	0	0	0	0	1	0	0	9	1	13	15	3	0	7	0	11	5	3	0	3	0	5	0	0	1
1acaA	0	0	0	0	0	0	0	6	0	8	4	3	0	0	0	0	0	0	0	8	0	22	6	4	0	5	0	6	2	2	0	2	0	5	2	0	1
1acpA	0	0	0	0	0	0	0	10	0	8	8	1	0	0	0	0	0	0	0	10	0	7	9	0	0	5	0	10	3	2	0	2	0	1	0	0	1
1adtA	0	0	0	0	0	0	0	9	4	31	13	3	0	3	2	7	1	0	0	27	5	52	31	16	0	14	2	27	18	7	0	7	0	15	5	1	1
1aepA	0	0	0	0	0	0	0	12	0	20	15	1	0	0	0	0	0	0	0	24	0	30	13	3	0	12	0	16	2	0	0	1	0	3	0	0	1
1agrE	0	0	0	0	0	0	0	9	1	10	9	3	0	1	0	3	0	0	0	10	2	24	11	5	0	8	0	8	3	5	0	4	1	6	2	2	1
1ak4C	0	0	0	0	0	0	0	7	0	13	10	1	0	0	0	0	0	0	0	14	0	30	18	3	0	9	0	19	9	3	0	1	0	4	3	0	1
1an2A	0	0	0	0	0	0	0	6	0	11	7	0	0	0	0	0	0	0	0	12	0	24	6	1	0	4	0	7	2	2	0	2	0	1	0	0	1
1aorA	0	0	0	0	0	0	0	24	1	54	24	12	0	0	0	4	2	0	0	56	3	124	77	26	0	26	1	76	27	12	0	9	1	28	13	4	1
1aoyA	0	0	0	0	0	0	0	7	0	6	3	1	0	0	0	0	0	1	0	5	0	18	10	3	0	5	1	7	5	0	0	0	0	4	1	0	1
