id	volume	surface_area	spherecity	label
1BCC	284964	79851.8	0.26225639058678	1
1BE3	296692	83931.6	0.256308207355981	1
1BGY	577409.75	157738	0.212587244736868	1
1EZV	321496.5	87569.2	0.259169311663463	1
1KB9	321248.125	87661.7	0.258762479349117	1
1KYO	656403.75	170011	0.214842965499158	1
1L0L	308061.375	83925.3	0.262834712547855	1
1L0N	305031.5	82168.4	0.266691447018475	1
1NTK	307259.875	82841.5	0.265811278054372	1
1NTM	304816.75	81855.6	0.267584907151974	1
1NTZ	306778.5	82121.2	0.26786262309319	1
1NU1	303859.875	82136.9	0.266110117498217	1
1P84	323329	88484	0.257463587763911	1
1PP9	576418.75	146569	0.228525183308141	1
1PPJ	571383	145915	0.228210555646105	1
1QCR	103982.25	78587.5	0.136072425111947	1
1SQB	311587.25	82307.3	0.270042563059632	1
1SQP	312110.75	81962	0.271483889181173	1
1SQQ	309678.125	82347.1	0.268808399124122	1
1SQV	308188.625	81759.8	0.269870475516528	1
1SQX	310857	81698	0.271631292770008	1
1ZRT	236897.875	71735	0.25810344344043	1
2A06	567976.25	143401	0.2312874468535	1
2BCC	282326.375	77585.5	0.268248846160151	1
2FYN	736820.25	199790	0.197462552392852	1
2FYU	311820.75	85017.5	0.261564701912973	1
2IBZ	321291	87467.5	0.259360071804778	1
2QJK	734959.375	201544	0.195414359541554	1
2QJP	487521.625	133796	0.223891145173339	1
2QJY	735217.125	201861	0.195153096684433	1
2YBB	1306470.875	352641	0.163889504368284	1
2YIU	230453.625	63237.2	0.287453226947627	1
3BCC	281783.5	77407.9	0.268519530010505	1
3CWB	596279.75	155057	0.2209493803568	1
3CX5	655162.375	170643	0.213777312305825	1
3CXH	655471.5	169741	0.214980916644984	1
3H1H	588990	155733	0.218193640764379	1
3H1I	589790.75	151784	0.224073295870928	1
3H1J	578232.625	149454	0.224583739745066	1
3H1K	589308.25	157141	0.216316489347425	1
3H1L	590122.75	151913	0.223967029166053	1
3L70	583119.625	153150	0.220396940806762	1
3L71	582970.75	153014	0.220555283626316	1
3L72	583285.125	153122	0.220478950188963	1
3L73	586910.875	154970	0.21875161231434	1
3L74	583371	151880	0.222303735341615	1
3L75	584668	152901	0.221146471951036	1
3TGU	587184	154141	0.219996325879271	1
4D6T	563580.75	146828	0.224722215857443	1
4D6U	561939.875	145097	0.226961534170567	1
4PD4	315694.5	86723.2	0.258539461873014	1
4U3F	587156.5	153228	0.22130025120119	1
5KKZ	499315.625	135870	0.224015113807942	1
5KLI	499657.25	135186	0.225251246105931	1
5KLV	307942.375	84500.2	0.260979277409263	1
5LUF	1363973	496133	0.119882702711522	1
5NMI	575503.125	147595	0.22669621549979	1
5OKD	293570.25	78001.2	0.273857224454299	1
5XTE	626432	163627	0.216377341087122	1
6FO0	593509	150757	0.226546927918145	1
6FO2	589900.625	152359	0.223255370719201	1
6FO6	571965.875	152186	0.218955655787954	1
1AQA	12637.375	4654.26	0.563730327138121	2
1AW3	14232.875	5589.7	0.508109577936918	2
1AWP	24912.375	8734.42	0.472273388622843	2
1AXX	28116	7189.01	0.621990941719237	2
1B5M	11837.25	4498.82	0.558323687931554	2
1BFX	14207.5	5604.77	0.506140907000433	2
1BLV	14275	5483.53	0.518968875112669	2
1CXY	11192.5	4152.81	0.582675554704166	2
1CYO	12884.125	4816.5	0.551809508445493	2
1DO9	48334.75	13322.5	0.48165718900384	2
1EHB	11904	4520.3	0.557757575994591	2
1ES1	11934.625	4514.17	0.559472485011084	2
1EUE	24906.375	8824.94	0.467354087115517	2
1F03	12011.875	4469.33	0.567521394143491	2
1F04	18514	4815.91	0.702758221852234	2
1HKO	41139.125	11508.9	0.500749289311654	2
1I5U	11925.75	4312.41	0.585357536257267	2
1IB7	17809.875	4949.58	0.666330496840755	2
1ICC	49759.25	17511	0.373613356571535	2
1J0Q	18454.125	4707.79	0.717347101497064	2
1JEX	18034.625	4983.4	0.667364530715809	2
1LJ0	50292.125	17724.5	0.371743562019495	2
1LQX	11902.875	4468.56	0.564180120779629	2
1LR6	11952.875	4481.92	0.56407252014632	2
1M20	11918	4571.23	0.551975716724714	2
1M2I	11817.875	4484.95	0.559439053187079	2
1M2M	11646	4291.64	0.57895573987462	2
1M59	11945.875	4571.9	0.552755041907845	2
1MJ4	11027.25	4131.53	0.579897666341312	2
1MNY	14208	5731.93	0.494924035606472	2
1NX7	16720.625	4589.79	0.688958369655575	2
1QX4	74603	20732.4	0.413369795469344	2
1SH4	16336	4734.18	0.657662644848395	2
1U9M	72740	24046.3	0.350443542136402	2
1U9U	11866.75	4516.68	0.557039506496679	2
1UMK	39713.875	11766.6	0.478403825949539	2
1X3X	23498.125	8021.07	0.49462260221125	2
2AXX	30660.625	7700.64	0.615192887841732	2
2EIX	72425.75	21037.8	0.399404055155939	2
2I89	49921	17587.1	0.372802436874859	2
2I96	57250.625	18106.9	0.396728599903175	2
2IBJ	12349.5	4629.06	0.55815852750733	2
2KEO	25630	7415.64	0.56689316878898	2
2M33	23614.75	7119.59	0.559093841337561	2
3LF5	25374.5	9616.6	0.434237742367464	2
3MUS	24977	8884.11	0.465118606494526	2
3NER	25952.75	10108.2	0.419371796939467	2
3OZZ	11731.5	4305.94	0.579853808410849	2
3W2H	39239.25	11239.1	0.496858878176168	2
3W5H	40317.875	11614.7	0.48956220688639	2
3X32	13215.75	4590.17	0.588911313271567	2
3X33	13421.75	4636.3	0.589095029019354	2
3X34	13326.75	4629.79	0.587136391264386	2
3X35	13572.625	4807.86	0.572323455567629	2
4B8N	49646.375	17675.8	0.369570026627244	2
4HIL	23892.875	8106.37	0.494883882122259	2
4HIN	46693.25	16617.1	0.37736790429743	2
4X8Y	32105.375	10454.6	0.467263511231787	2
5GV7	40881.875	11615.9	0.494066184821415	2
5GV8	40469.875	11577.6	0.492364605909428	2
5XE4	21141.25	5329.44	0.693781937126459	2
5XEE	24888	6178.73	0.667182898263478	2
5YLY	78412.25	22341.3	0.396550311024191	2
1Q90	133893.375	40103.8	0.315600724376653	3
1VF5	255427.75	80876.1	0.240718411700786	3
2D2C	257923	87149.3	0.224843464853863	3
2ZT9	137252.5	42278.3	0.304354773481843	3
4H0L	138465	41487.2	0.311982336502783	3
4H13	139939.625	42203.9	0.308857873111225	3
4H44	138446.125	41332.7	0.313120055397521	3
4I7Z	120166	36438.2	0.323182829765493	3
4OGQ	134796.875	40949	0.310475527379653	3
4PV1	136931.375	42612.2	0.301498725506409	3
1AKK	15899.875	5786.61	0.528431929775423	4
1CCR	15105.75	5237.04	0.564277970219266	4
1CRC	30952.75	10504.1	0.453862990412508	4
1CYC	29420.25	10841.1	0.42511687703842	4
1FI7	16005.375	5790.58	0.530402987054449	4
1FI9	25257	5904.21	0.705088294360215	4
1GIW	15820.125	5720.96	0.532707102368932	4
1H31	220100.125	61810.2	0.2852139971976	4
1H32	54719	15841	0.440007722300882	4
1H33	55068.5	16012.5	0.437146641825984	4
1HRC	15121.25	5301.33	0.557816146394917	4
1I54	29222.25	9780.06	0.4691211788869	4
1I55	29220.25	9836.08	0.466428082597361	4
1I5T	15648.5	5870.66	0.515361935472316	4
1J3S	25001.125	5804.66	0.712328584675987	4
1KTD	115932.125	31468.5	0.365379306232012	4
1LC1	15542.75	5182.38	0.581174803793595	4
1LC2	25219	5583.67	0.74481707186902	4
1LFM	29156.625	9786.79	0.468096458962966	4
1M60	15377.375	5400.73	0.553715221262037	4
1OCD	14968.75	5533.8	0.530783836190916	4
1RWJ	11043.5	5301.01	0.452407703532053	4
1U75	102250	27908.6	0.378897393613823	4
1WEJ	75232.5	21274.5	0.405099547889595	4
2B4Z	14924.625	5229.82	0.560531041352688	4
2CZS	20563	9260.13	0.391974689358551	4
2D0S	11229.875	4287.25	0.565659732291412	4
